ID,Department_Name,Employee_ID,Location,Budget,Phone_Number,Email,Manager_Name,Number_of_Employees,Founded_Date
1,Estate agent,96,"01564 Dylan Rest Suite 355
Boydtown, FM 57549",3104813.97,001-430-692-5084,ramirezapril@herring.com,Randy Marshall,75,2003-04-22
2,Estate manager/land agent,80,"72103 Long Haven Suite 611
East Christinabury, AS 46764",3751043.94,(615)735-8950,donaldcampbell@clay-jones.com,Susan Graham,17,2006-11-02
3,Retail buyer,59,"Unit 3730 Box 1523
DPO AE 06251",8320956.40,+1-854-554-3837x492,rbarr@martin.com,Kara Watson,32,2002-11-08
4,"Programmer, applications",32,"7457 Dixon Unions Apt. 463
Christinaview, RI 07867",1739851.45,965-590-9442,zstout@wilkins-small.info,Stephanie Miller,86,2005-10-01
5,Clinical embryologist,44,"7775 Kelly Islands Suite 596
Jenniferborough, MP 89278",3524194.63,(695)295-3219x2127,vreed@lee-bennett.com,Leah Everett,85,2009-01-06
6,Production engineer,34,"7988 Cooper Prairie
Hardinghaven, WV 36634",3388767.00,959.501.7057x64140,phamrichard@briggs-townsend.org,Randy Foster,99,2015-02-21
7,"Engineer, site",94,"76374 Danielle Park
Josephview, MP 39949",7230853.36,(211)949-1214,debraelliott@wise.biz,Samantha Price,49,2008-11-03
8,Operational researcher,57,"65659 Moore Via
Russellburgh, IN 86935",9441702.36,3963984880,torreslauren@ramirez.com,Richard Hatfield,23,2003-07-24
9,Housing manager/officer,2,"854 Logan Track
Port Wendyland, WV 69446",7206179.07,(500)230-0913x559,abigaillucas@rodriguez.com,Emily Long,52,2016-12-11
10,Exercise physiologist,53,"9363 Johnson Radial
Lake Cindyport, UT 07104",1497133.26,+1-731-731-6324,alisonroberts@thompson.com,Maria Stevens,75,2011-04-21
11,Consulting civil engineer,10,"100 Jonathan Coves
North Christopher, MS 94088",2427526.32,476.454.7649,cathydyer@lee-morris.com,Dakota Grant,43,2001-11-20
12,Fine artist,84,"USNS Hill
FPO AP 56507",5841615.92,965-670-9352x472,mvazquez@owen-case.org,Monica Morales,75,2004-06-17
13,Armed forces technical officer,84,"9710 Moses Rest Apt. 189
Erinbury, GA 83683",4276187.13,(948)735-8877,oliverdavid@phillips.biz,Richard Bryant,20,2023-11-08
14,"Horticulturist, commercial",57,"72303 Jamie Gardens Apt. 677
West Sarah, TX 81874",9533230.86,001-899-719-4165x177,murrayholly@best-watts.info,Tammy Browning,97,2005-12-07
15,"Geologist, engineering",82,"374 Smith Overpass Suite 928
Lesterhaven, TN 93084",6444902.73,001-766-554-2282x1734,nicole88@castillo.info,Brenda Thomas,78,2002-11-07
16,Prison officer,29,"8117 Joseph Loop
New Tyler, DC 35282",8055617.54,564-530-0912,jennifer92@brown.com,Lisa Myers,96,2006-10-11
17,Equities trader,63,"637 Moore Lodge
South Kevintown, GU 37674",8407809.15,(285)337-7329,rebecca41@santiago-miller.info,Thomas Peters,80,2014-07-12
18,Systems developer,65,"6956 Tyler Village
Smithton, WV 82993",9229680.89,525-547-5939x36540,durannicole@miller-johnson.com,Cindy Oliver,64,2004-05-12
19,Chartered certified accountant,29,"427 Kevin Common Suite 101
East Ashley, WI 05483",1848087.48,454-800-7242,griffinrobert@hughes.info,Jessica Hernandez,44,2011-04-08
20,Advice worker,28,"54637 Miles Roads
Bradleyport, AZ 19521",2690792.69,(220)336-6893x3361,beverly30@wise.org,Caitlin Stevenson,32,2009-10-14
